NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1795,E1311100016111,蓮沼中学校,東京都大田区西蒲田2-3-1,1,,,35.57080326,139.7080522,
1796,E1311100017111,ふれあいはすぬま,東京都大田区西蒲田3-19-1,1,,,35.56811608,139.707802,
1797,E1311100018111,相生小学校,東京都大田区西蒲田6-19-1,1,,,35.56588831,139.7122798,
1798,E1311100019111,御園中学校,東京都大田区西蒲田8-5-1,1,,,35.5613447,139.7120723,
1799,E1311100020111,馬込中学校,東京都大田区西馬込2-35-6,1,,,35.58464107,139.7027411,
1800,E1311100021111,志茂田中学校,東京都大田区西六郷1-4-10,1,,,35.55573783,139.7105607,
1801,E1311100022111,志茂田小学校,東京都大田区西六郷1-4-2,1,,,35.55512199,139.7115122,
1802,E1311100023111,西六郷小学校,東京都大田区西六郷2-3-1,1,,,35.55171122,139.7091754,
1803,E1311100024111,高畑小学校,東京都大田区西六郷3-28-23,1,,,35.54504326,139.7064371,
1804,E1311100025111,糀谷小学校,東京都大田区西糀谷3-13-21,1,,,35.55545235,139.7341889,
1805,E1311100026111,糀谷中学校,東京都大田区西糀谷3-6-23,1,,,35.55651179,139.7368804,
1806,E1311100027111,石川台中学校,東京都大田区石川町2-23-1,1,,,35.59918058,139.6816369,
1807,E1311100028111,調布大塚小学校,東京都大田区雪谷大塚町12-1,1,,,35.59078211,139.6781101,
1808,E1311100029111,千鳥小学校,東京都大田区千鳥2-5-1,1,,,35.57131753,139.6917954,
1809,E1311100030111,矢口小学校,東京都大田区多摩川1-18-22,1,,,35.56291484,139.6983276,
1810,E1311100031111,こらぼ大森,東京都大田区大森西2-16-2,1,,,35.57683116,139.7301871,
1811,E1311100032111,大森第八中学校,東京都大田区大森西2-21-1,1,,,35.57591491,139.7270164,
1812,E1311100033111,開桜小学校,東京都大田区大森西2-26-3,1,,,35.57579407,139.7315031,
1813,E1311100034111,大森第三小学校,東京都大田区大森西5-22-18,1,,,35.57082413,139.725926,
1814,E1311100035111,大森東小学校,東京都大田区大森東1-29-1,1,,,35.575547,139.7386592,
1815,E1311100036111,大森第一小学校,東京都大田区大森東3-1-18,1,,,35.57050058,139.7356496,
1816,E1311100037111,大森東中学校,東京都大田区大森東4-1-1,1,,,35.56913693,139.7362474,
1817,E1311100038111,中富小学校,東京都大田区大森東5-6-24,1,,,35.56975568,139.7410881,
1818,E1311100039111,大森第四小学校,東京都大田区大森南3-18-26,1,,,35.56560382,139.7425267,
1819,E1311100040111,大森第一中学校,東京都大田区大森南5-6-5,1,,,35.56207933,139.7517798,
1820,E1311100041111,入新井第一小学校,東京都大田区大森北4-6-7,1,,,35.58429223,139.7273011,
1821,E1311100042111,大森第二中学校,東京都大田区大森北6-18-1,1,,,35.5795563,139.7322535,
1822,E1311100043111,入新井第五小学校,東京都大田区大森北6-4-8,1,,,35.58118267,139.7336746,
1823,E1311100044111,大森第五小学校,東京都大田区大森本町1-10-5,1,,,35.58198241,139.7378277,
1824,E1311100045111,大森第四中学校,東京都大田区池上1-15-1,1,,,35.57789872,139.7086049,
1825,E1311100046111,池上小学校,東京都大田区池上1-33-8,1,,,35.57655642,139.7058052,
1826,E1311100047111,徳持小学校,東京都大田区池上7-18-1,1,,,35.57001687,139.7011819,
1827,E1311100048111,入新井第二小学校,東京都大田区中央2-15-1,1,,,35.57888408,139.7208122,
1828,E1311100049111,入新井第四小学校,東京都大田区中央3-5-8,1,,,35.57751769,139.716793,
1829,E1311100050111,大森第三中学校,東京都大田区中央4-12-8,1,,,35.58072594,139.71563,
1830,E1311100051111,池上第二小学校,東京都大田区中央8-9-1,1,,,35.57398896,139.7134702,
1831,E1311100052111,貝塚中学校,東京都大田区中馬込3-13-1,1,,,35.59396272,139.7054687,
1832,E1311100053111,大森第十中学校,東京都大田区仲池上2-13-1,1,,,35.58493145,139.7000368,
1833,E1311100054111,仲六郷小学校,東京都大田区仲六郷1-26-1,1,,,35.55350842,139.7169028,
1834,E1311100055111,六郷中学校,東京都大田区仲六郷3-11-11,1,,,35.54820091,139.7105664,
1835,E1311100092111,田園調布小学校,東京都大田区田園調布2-31-16,1,,,35.59552268,139.6685683,
1836,E1311100056111,田園調布中学校,東京都大田区田園調布2-60-1,1,,,35.59822496,139.6695,
1837,E1311100057111,東調布第一小学校,東京都大田区田園調布南28-7,1,,,35.58268629,139.6775722,
1838,E1311100058111,東調布中学校,東京都大田区田園調布南29-15,1,,,35.58347081,139.678892,
1839,E1311100059111,嶺町小学校,東京都大田区田園調布南6-10,,,,35.57765141,139.6749736,
1840,E1311100060111,東蒲小学校,東京都大田区東蒲田1-19-25,1,,,35.56407862,139.7286912,
1841,E1311100061111,東蒲中学校,東京都大田区東蒲田2-38-1,1,,,35.56092462,139.7290774,
1842,E1311100062111,池雪小学校,東京都大田区東雪谷5-7-1,1,,,35.59065086,139.6947135,
1843,E1311100063111,安方中学校,東京都大田区東矢口2-1-1,1,,,35.56676686,139.7016516,
1844,E1311100064111,矢口東小学校,東京都大田区東矢口3-9-20,1,,,35.56364388,139.7051528,
1845,E1311100065111,東六郷小学校,東京都大田区東六郷2-3-1,1,,,35.55072026,139.7181943,
1846,E1311100066111,六郷小学校,東京都大田区東六郷3-7-1,1,,,35.54517976,139.71416,
1847,E1311100067111,東糀谷小学校,東京都大田区東糀谷5-18-23,1,,,35.55868979,139.7443436,
1848,E1311100068111,羽田中学校,東京都大田区東糀谷6-10-12,1,,,35.55652266,139.7507221,
1849,E1311100069111,南蒲小学校,東京都大田区南蒲田1-12-11,1,,,35.55818953,139.727034,
1850,E1311100070111,大森第七中学校,東京都大田区南久が原1-3-1,1,,,35.57840371,139.6897325,
1851,E1311100071111,東調布第三小学校,東京都大田区南久が原2-17-1,1,,,35.57773458,139.6854222,
1852,E1311100072111,雪谷小学校,東京都大田区南雪谷3-9-23,1,,,35.59282746,139.6869527,
1853,E1311100073111,雪谷中学校,東京都大田区南雪谷5-1-1,1,,,35.59081736,139.6893541,
1854,E1311100074111,大森第六中学校,東京都大田区南千束1-33-1,1,,,35.6018294,139.692768,
1855,E1311100075111,洗足池小学校,東京都大田区南千束3-35-2,1,,,35.5999271,139.6864087,
1856,E1311100076111,馬込小学校,東京都大田区南馬込1-34-1,1,,,35.59108468,139.7106969,
1857,E1311100077111,馬込東中学校,東京都大田区南馬込2-26-30,1,,,35.58969885,139.7174569,
1858,E1311100078111,馬込第二小学校,東京都大田区南馬込3-10-1,1,,,35.58738641,139.7174379,
1859,E1311100079111,梅田小学校,東京都大田区南馬込6-6-1,1,,,35.58408318,139.7070538,
1860,E1311100080111,南六郷中学校,東京都大田区南六郷3-2-1,1,,,35.54624851,139.7166085,
1861,E1311100081111,南六郷小学校,東京都大田区南六郷3-7-1,1,,,35.54500891,139.716233,
