NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E1322800002111,増戸小学校体育館,東京都あきる野市伊奈1173,1,,,35.72750545,139.2480071,
2,E1322800003111,増戸中学校体育館,東京都あきる野市伊奈1181,1,,,35.72798723,139.2504071,
3,E1322800005111,五日市ファインプラザ,東京都あきる野市伊奈859-3,1,,,35.72931313,139.2554061,
4,E1322800008111,一の谷小学校体育館,東京都あきる野市引田980,1,,,35.72072812,139.2723702,
5,E1322800011111,南秋留小学校体育館,東京都あきる野市雨間810,1,,,35.72077358,139.2934681,
6,E1322800013112,小宮ふるさと自然体験学校２・３Ｆ,東京都あきる野市乙津1984,1,,,35.72340375,139.1794573,
7,E1322800013111,小宮ふるさと自然体験学校体育館,東京都あきる野市乙津1984,1,,,35.73413571,139.1833492,
8,E1322800015111,ふるさと工房五日市,東京都あきる野市乙津671,1,,,35.73421684,139.1840185,
9,E1322800019111,戸倉しろやまテラス体育館,東京都あきる野市戸倉325,1,,,35.7255422,139.2039405,
10,E1322800021111,五日市小学校体育館,東京都あきる野市五日市315,1,,,35.73153504,139.2229722,
11,E1322800022111,五日市中学校体育館,東京都あきる野市五日市400,1,,,35.73087832,139.2215601,
12,E1322800023111,五日市地域交流センター,東京都あきる野市五日市411,1,,,35.72939404,139.2199667,
13,E1322800024111,五日市会館,東京都あきる野市五日市412,1,,,35.72978604,139.2201453,
14,E1322800027111,あきる野ルピア３・４Ｆ,東京都あきる野市秋川1-8,1,,,35.72993295,139.2871015,
15,E1322800031111,西中学校体育館,東京都あきる野市上代継190,1,,,35.73007358,139.2771769,
16,E1322800032111,西秋留小学校体育館,東京都あきる野市上代継292,1,,,35.72311777,139.2773229,
17,E1322800039111,多西小学校体育館,東京都あきる野市草花2885,1,,,35.7422314,139.2993332,
18,E1322800040111,草花小学校体育館,東京都あきる野市草花3130,1,,,35.73686441,139.3062028,
19,E1322800041111,御堂中学校体育館,東京都あきる野市草花3322,1,,,35.74093568,139.2963461,
20,E1322800044111,秋多中学校体育館,東京都あきる野市二宮334,1,,,35.73090546,139.2934672,
21,E1322800046112,秋川体育館,東京都あきる野市二宮683,1,,,35.73017814,139.3023001,
22,E1322800046111,中央公民館,東京都あきる野市二宮683,1,,,35.73020132,139.3026594,
23,E1322800048111,屋城小学校体育館,東京都あきる野市二宮東1-12-1,1,,,35.72441425,139.3233184,
24,E1322800051111,東中学校体育館,東京都あきる野市平沢200,1,,,35.73274474,139.302522,
25,E1322800053111,東秋留小学校体育館,東京都あきる野市野辺1123,1,,,35.72437416,139.3063925,
26,E1322800055111,前田小学校体育館,東京都あきる野市野辺92,1,,,35.7237342,139.3138362,
27,E1322500001111,稲城第四小学校,東京都稲城市押立1250,1,,,35.644674,139.516419,
28,E1322500002111,稲城第四中学校,東京都稲城市押立1768,1,,,35.645845,139.517966,
29,E1322500003111,押立ふれあい会館,東京都稲城市押立663,,,,35.649732,139.511134,
30,E1322500004111,稲城第五中学校,東京都稲城市向陽台3-1-1,1,,,35.638456,139.489393,
31,E1322500005111,向陽台小学校,東京都稲城市向陽台3-2,1,,,35.637453,139.488178,
32,E1322500008111,城山小学校,東京都稲城市向陽台6-17,1,,,35.642688,139.493325,
33,E1322500009111,城山文化センター,東京都稲城市向陽台6-7,,,,35.641385,139.490804,
34,E1322500048112,稲城第二中学校,東京都稲城市坂浜5-1-1,1,,,35.615996,139.481155,
35,E1322500012111,稲城第二小学校,東京都稲城市坂浜590,1,,,35.62492,139.485466,
36,E1322500013111,坂浜コミュニティ防災センター,東京都稲城市坂浜974,,,,35.624776,139.485983,
37,E1322500015111,稲城第六中学校,東京都稲城市若葉台3-11,1,,,35.624606,139.467591,
38,E1322500016111,若葉台小学校,東京都稲城市若葉台4-5,1,,,35.626887,139.468118,
39,E1322500017111,稲城第三小学校,東京都稲城市大丸100,1,,,35.643244,139.499778,
40,E1322500019111,稲城第六小学校,東京都稲城市大丸2110,1,,,35.649701,139.49934,
41,E1322500021111,大丸地区会館,東京都稲城市大丸251,,,,35.647317,139.498773,
42,E1322500024111,総合体育館,東京都稲城市長峰1-1,1,,,35.631644,139.485916,
43,E1322500025111,長峰コミュニティ防災センター,東京都稲城市長峰2-31-1,,,,35.628419,139.478465,
44,E1322500026111,長峰小学校,東京都稲城市長峰2-8,1,,,35.62971,139.483044,
45,E1322500028111,中央文化センター,東京都稲城市東長沼2111,,,,35.638077,139.503737,
46,E1322500030111,第四文化センター,東京都稲城市東長沼271,,,,35.645912,139.505383,
47,E1322500032111,稲城第一小学校,東京都稲城市東長沼956,1,,,35.640688,139.511839,
48,E1322500033111,百村コミュニティ防災センター,東京都稲城市百村2017,,,,35.638499,139.497432,
49,E1322500034111,稲城第一中学校,東京都稲城市百村23,1,,,35.640391,139.499365,
50,E1322500035111,第三文化センター,東京都稲城市平尾1-20-5,,,,35.613134,139.492481,
51,E1322500036111,複合施設ふれんど平尾,東京都稲城市平尾1-9-1,1,,,35.613755,139.492561,
52,E1322500037111,平尾小学校,東京都稲城市平尾3-1-3,1,,,35.611219,139.488674,
53,E1322500040111,第二文化センター,東京都稲城市矢野口1780,,,,35.635238,139.518428,
54,E1322500041111,松葉集会所,東京都稲城市矢野口1892,,,,35.636515,139.520541,
55,E1322500042111,稲城第七小学校,東京都稲城市矢野口1901-2,1,,,35.635361,139.520387,
56,E1322500043111,矢野口コミュニティ防災センター,東京都稲城市矢野口2271-1,,,,35.63365,139.515882,
57,E1322500045111,稲城第三中学校,東京都稲城市矢野口3043,1,,,35.636549,139.507521,
58,E1322500046111,南山小学校,東京都稲城市矢野口3635,1,,,35.628985,139.508348,
59,E1322500047111,公益社団法人九段盡性園,東京都稲城市矢野口3750-11,1,,,35.643939,139.520848,
60,E1322700001111,松林小学校,東京都羽村市羽4122-2,1,,,35.76802926,139.330168,
61,E1322700002111,羽村西小学校,東京都羽村市羽加美4-2-9,1,,,35.76517336,139.3000748,
62,E1322700003111,羽村第一中学校,東京都羽村市羽中3-6-33,1,,,35.76174541,139.3071572,
63,E1322700004111,羽村東小学校,東京都羽村市羽東2-18-1,1,,,35.75449342,139.3131498,
64,E1322700005111,栄小学校,東京都羽村市栄町2-17,1,,,35.77186237,139.3123286,
65,E1322700007111,富士見小学校,東京都羽村市五ノ神4-9-5,1,,,35.76224928,139.3175022,
66,E1322700008111,小作台小学校,東京都羽村市小作台4-13-1,1,,,35.77351271,139.2987153,
67,E1322700010111,武蔵野小学校,東京都羽村市川崎693-1,1,,,35.76098061,139.3324935,
68,E1322700011111,羽村第三中学校,東京都羽村市川崎697-1,1,,,35.76143129,139.3342126,
69,E1322700012111,羽村第二中学校,東京都羽村市富士見平1-16,1,,,35.76487769,139.3248875,
70,E1312200001111,双葉中学校,東京都葛飾区お花茶屋1-10-1,,,,35.750289,139.838121,
71,E1312200002111,南奥戸小学校,東京都葛飾区奥戸3-5-1,,,,35.731661,139.860331,
72,E1312200003111,上小松小学校,東京都葛飾区奥戸4-1-4,,,,35.728105,139.862638,
73,E1312200004111,奥戸小学校,東京都葛飾区奥戸8-20-17,,,,35.739023,139.865428,
74,E1312200006111,旧明石小学校,東京都葛飾区鎌倉2-12-1,,,,35.747822,139.874792,
75,E1312200007111,鎌倉小学校,東京都葛飾区鎌倉4-24-1,,,,35.747007,139.882342,
76,E1312200010111,亀有中学校,東京都葛飾区亀有1-23-1,,,,35.760077,139.847221,
77,E1312200011111,道上小学校,東京都葛飾区亀有4-35-1,,,,35.763867,139.84513,
78,E1312200012111,中之台小学校,東京都葛飾区亀有5-2-1,,,,35.766368,139.843159,
79,E1312200013111,柴原小学校,東京都葛飾区金町1-15-1,,,,35.762852,139.867031,
80,E1312200014111,常盤中学校,東京都葛飾区金町2-11-1,,,,35.76315,139.870471,
81,E1312200015111,金町小学校,東京都葛飾区金町3-44-1,,,,35.766555,139.877397,
82,E1312200016111,末広小学校,東京都葛飾区金町4-21-1,,,,35.766613,139.865234,
83,E1312200018111,高砂小学校,東京都葛飾区高砂3-30-1,,,,35.74684,139.870201,
84,E1312200019111,高砂中学校,東京都葛飾区高砂3-32-1,,,,35.74604,139.869422,
85,E1312200020111,住吉小学校,東京都葛飾区高砂8-14-1,,,,35.754594,139.867065,
86,E1312200021111,奥戸中学校,東京都葛飾区細田1-6-1,,,,35.737187,139.871375,
87,E1312200022111,細田小学校,東京都葛飾区細田3-20-1,,,,35.74149,139.868248,
88,E1312200023111,四ツ木中学校,東京都葛飾区四つ木4-22-1,,,,35.738929,139.83498,
89,E1312200024111,よつぎ小学校,東京都葛飾区四つ木4-8-1,,,,35.736855,139.833852,
90,E1312200025111,大道中学校,東京都葛飾区四つ木5-22-1,,,,35.744505,139.84288,
91,E1312200026111,北野小学校,東京都葛飾区柴又3-10-1,,,,35.759783,139.871924,
92,E1312200028111,桜道中学校,東京都葛飾区柴又4-3-1,,,,35.752732,139.873109,
93,E1312200027111,柴又小学校,東京都葛飾区柴又4-30-1,,,,35.753038,139.877276,
94,E1312200029111,東柴又小学校,東京都葛飾区柴又5-12-15,,,,35.752707,139.880472,
95,E1312200031111,西小菅小学校,東京都葛飾区小菅1-25-1,,,,35.756281,139.817776,
96,E1312200032111,綾瀬中学校,東京都葛飾区小菅2-12-1,,,,35.753444,139.824581,
97,E1312200033111,こすげ小学校,東京都葛飾区小菅3-8-1,,,,35.754445,139.824329,
98,E1312200035111,新宿小学校,東京都葛飾区新宿2-26-1,,,,35.762857,139.85811,
99,E1312200036111,新宿中学校,東京都葛飾区新宿3-20-10,,,,35.761239,139.863278,
100,E1312200037111,小松南小学校,東京都葛飾区新小岩2-25-1,,,,35.716889,139.863829,
101,E1312200038111,旧松南小学校,東京都葛飾区新小岩3-25-1,,,,35.713556,139.866085,
102,E1312200039111,小松中学校,東京都葛飾区新小岩4-30-1,,,,35.720487,139.864323,
103,E1312200040111,葛美中学校,東京都葛飾区水元2-17-1,,,,35.784772,139.858166,
104,E1312200041111,水元中学校,東京都葛飾区水元3-20-1,,,,35.78275,139.865344,
105,E1312200042111,水元小学校,東京都葛飾区水元4-21-1,,,,35.787996,139.863938,
106,E1312200044111,西亀有小学校,東京都葛飾区西亀有2-42-1,,,,35.761048,139.835031,
107,E1312200045111,一之台中学校,東京都葛飾区西亀有4-1-1,,,,35.76427,139.837976,
108,E1312200047111,松上小学校,東京都葛飾区西新小岩2-1-1,,,,35.717783,139.853155,
109,E1312200048111,新小岩中学校,東京都葛飾区西新小岩2-1-2,,,,35.717751,139.852207,
110,E1312200049111,上平井小学校,東京都葛飾区西新小岩4-22-1,,,,35.722819,139.85175,
111,E1312200050111,幸田小学校,東京都葛飾区西水元3-24-12,,,,35.788972,139.84959,
112,E1312200051111,葛飾小学校,東京都葛飾区青戸1-3-1,,,,35.742361,139.854875,
113,E1312200052111,中青戸小学校,東京都葛飾区青戸4-24-1,,,,35.750174,139.85178,
114,E1312200053111,青戸中学校,東京都葛飾区青戸5-10-1,,,,35.751319,139.853488,
115,E1312200054111,青戸小学校,東京都葛飾区青戸6-18-1,,,,35.751575,139.857179,
116,E1312200055111,亀青小学校,東京都葛飾区青戸8-17-1,,,,35.758894,139.852931,
117,E1312200057111,東金町小学校,東京都葛飾区東金町1-33-1,,,,35.7738,139.870668,
118,E1312200058111,原田小学校,東京都葛飾区東金町2-16-1,,,,35.773197,139.868254,
119,E1312200059111,半田小学校,東京都葛飾区東金町5-16-1,,,,35.777552,139.876585,
120,E1312200060111,東金町中学校,東京都葛飾区東金町5-3-1,,,,35.77808,139.873593,
121,E1312200062111,木根川小学校,東京都葛飾区東四つ木1-10-1,,,,35.727905,139.840449,
122,E1312200063111,中川中学校,東京都葛飾区東四つ木1-3-1,,,,35.725907,139.841228,
123,E1312200064111,渋江小学校,東京都葛飾区東四つ木2-13-1,,,,35.730519,139.842423,
124,E1312200066111,上平井中学校,東京都葛飾区東新小岩4-2-1,,,,35.724839,139.860489,
125,E1312200067111,二上小学校,東京都葛飾区東新小岩7-18-1,,,,35.724502,139.855275,
126,E1312200068111,東水元小学校,東京都葛飾区東水元5-38-1,,,,35.790846,139.867594,
127,E1312200069111,上千葉小学校,東京都葛飾区東堀切3-26-1,,,,35.753895,139.838169,
128,E1312200070111,川端小学校,東京都葛飾区東立石1-2-1,,,,35.732123,139.846114,
129,E1312200071111,本田中学校,東京都葛飾区東立石4-7-1,,,,35.732456,139.852457,
130,E1312200072111,飯塚小学校,東京都葛飾区南水元1-13-1,,,,35.776644,139.857812,
131,E1312200073111,金町中学校,東京都葛飾区南水元3-1-1,,,,35.77396,139.865227,
132,E1312200074111,花の木小学校,東京都葛飾区南水元3-2-1,,,,35.774225,139.864312,
133,E1312200076111,白鳥小学校,東京都葛飾区白鳥3-4-1,,,,35.750566,139.844277,
134,E1312200077111,宝木塚小学校,東京都葛飾区宝町2-29-23,,,,35.744774,139.838271,
135,E1312200078111,綾南小学校,東京都葛飾区堀切1-22-1,,,,35.739918,139.830659,
136,E1312200079111,堀切中学校,東京都葛飾区堀切1-36-1,,,,35.741429,139.832882,
137,E1312200080111,堀切小学校,東京都葛飾区堀切2-42-1,,,,35.744322,139.828795,
138,E1312200081111,旧東堀切小学校,東京都葛飾区堀切3-34-1,,,,35.744319,139.834518,
139,E1312200082111,旧小谷野小学校,東京都葛飾区堀切4-60-1,,,,35.749656,139.825713,
140,E1312200083111,南綾瀬小学校,東京都葛飾区堀切6-1-1,,,,35.75173,139.828041,
141,E1312200084111,東綾瀬小学校,東京都葛飾区堀切6-21-1,,,,35.75377,139.831721,
142,E1312200085111,青葉中学校,東京都葛飾区堀切8-12-1,,,,35.756847,139.833824,
143,E1312200086111,本田小学校,東京都葛飾区立石1-7-23,,,,35.737275,139.844992,
144,E1312200087111,梅田小学校,東京都葛飾区立石3-24-1,,,,35.741632,139.844269,
145,E1312200088111,清和小学校,東京都葛飾区立石6-2-1,,,,35.743102,139.848898,
146,E1312200089111,立石中学校,東京都葛飾区立石6-3-1,,,,35.743924,139.848488,
147,E1338200003111,御蔵島村観光資料館,東京都御蔵島村字家の下,1,,,33.896785,139.592159,
148,E1338200004111,御蔵島村開発総合センター,東京都御蔵島村字宮の下,1,,,33.894986,139.593261,
149,E1338200005111,村立御蔵島村小中学校,東京都御蔵島村字入かねが沢,1,,,33.89703,139.595292,
150,E1312300002111,松江五中,東京都江戸川区一之江6-18-1,1,,,35.689022,139.877249,
151,E1312300003111,都立葛西工科高校,東京都江戸川区一之江7-68-1,1,,,35.683604,139.878877,
152,E1312300004111,葛西二中,東京都江戸川区宇喜田町1085,1,,,35.679071,139.861967,
153,E1312300005111,篠崎二中,東京都江戸川区下篠崎町14-1,1,,,35.699544,139.913293,
154,E1312300006111,江戸川小,東京都江戸川区江戸川1-1-16,1,,,35.686196,139.906823,
155,E1312300007111,下鎌田東小,東京都江戸川区江戸川2-16-31,1,,,35.686751,139.90131,
156,E1312300008111,瑞江中,東京都江戸川区江戸川4-16,1,,,35.679896,139.884241,
157,E1312300009111,一之江小,東京都江戸川区江戸川5-18-3,1,,,35.674534,139.879519,
158,E1312300115111,二之江小,東京都江戸川区江戸川6-44,1,,,35.67572,139.879288,
159,E1312300010111,鹿骨中,東京都江戸川区鹿骨2-12-1,1,,,35.70779,139.893493,
160,E1312300011111,鹿骨東小,東京都江戸川区鹿骨3-7-1,1,,,35.711192,139.892444,
161,E1312300012111,小岩五中,東京都江戸川区鹿骨5-27-1,1,,,35.717454,139.886012,
162,E1312300013111,鹿骨松本小,東京都江戸川区鹿骨6-3-5,1,,,35.712682,139.884282,
163,E1312300015111,篠崎小,東京都江戸川区篠崎町3-2-18,1,,,35.704813,139.909184,
164,E1312300016111,篠崎中,東京都江戸川区篠崎町5-12-19,1,,,35.703052,139.908804,
165,E1312300017111,篠崎四小,東京都江戸川区篠崎町8-12-8,1,,,35.704817,139.898894,
166,E1312300018111,春江中,東京都江戸川区春江町2-47-1,1,,,35.701108,139.891186,
167,E1312300019111,一之江二小,東京都江戸川区春江町4-16,1,,,35.682337,139.87848,
168,E1312300020111,二之江二小,東京都江戸川区春江町5-13,1,,,35.679895,139.877029,
169,E1312300021111,二之江中,東京都江戸川区春江町5-3-1,1,,,35.681983,139.877339,
170,E1312300022111,小松川二中,東京都江戸川区小松川2-10-2,1,,,35.69779519,139.8527957,
171,E1312300023111,小松川二小,東京都江戸川区小松川3-6-4,1,,,35.69744,139.849455,
172,E1312300024111,松江小,東京都江戸川区松江1-16-5,1,,,35.697805,139.870007,
173,E1312300025111,松江一中,東京都江戸川区松江5-5-1,1,,,35.688798,139.867417,
174,E1312300026111,松江六中,東京都江戸川区松江7-16-18,1,,,35.691126,139.874075,
175,E1312300027111,西一之江小,東京都江戸川区松江7-17-1,1,,,35.689962,139.873644,
176,E1312300028111,私立関東第一高校,東京都江戸川区松島2-10-11,1,,,35.70796,139.860354,
177,E1312300029111,旧二松江小,東京都江戸川区松島2-16-20,1,,,35.704666,139.861335,
178,E1312300030111,松江二中,東京都江戸川区松島2-3-1,1,,,35.706222,139.859996,
179,E1312300031111,都立江戸川高校,東京都江戸川区松島2-38-1,1,,,35.708695,139.865907,
180,E1312300032111,西小松川小,東京都江戸川区松島3-30-6,1,,,35.711614,139.862682,
181,E1312300033111,鹿本中,東京都江戸川区松本1-36-1,1,,,35.718469,139.876944,
182,E1312300034111,鹿本小,東京都江戸川区松本2-35-7,1,,,35.718576,139.878848,
183,E1312300035111,上一色中,東京都江戸川区上一色1-8-11,1,,,35.723456,139.872634,
184,E1312300036111,篠崎二小,東京都江戸川区上篠崎1-3-1,1,,,35.714439,139.900373,
185,E1312300037111,新堀小,東京都江戸川区新堀1-32-1,1,,,35.70442,139.888346,
186,E1312300038111,春江小,東京都江戸川区瑞江1-3-30,1,,,35.699169,139.893865,
187,E1312300040111,瑞江二中,東京都江戸川区瑞江4-54-1,1,,,35.694684,139.894694,
188,E1312300041111,清新ふたば小,東京都江戸川区清新町1-1-38,1,,,35.657416,139.853108,
189,E1312300042111,清新一小,東京都江戸川区清新町1-4-19,1,,,35.66183,139.852875,
190,E1312300043111,清新一中,東京都江戸川区清新町1-5-14,1,,,35.663285,139.851585,
191,E1312300045111,清新二中,東京都江戸川区清新町2-1-2,1,,,35.656733,139.85227,
192,E1312300044111,旧清新二小,東京都江戸川区清新町2-10-1,1,,,35.655018,139.857263,
193,E1312300046111,松江四中,東京都江戸川区西一之江1-16-1,1,,,35.699077,139.877174,
194,E1312300047111,大杉東小,東京都江戸川区西一之江2-8-5,1,,,35.700848,139.879025,
195,E1312300048111,西葛西小,東京都江戸川区西葛西3-9-44,1,,,35.668114,139.85746,
196,E1312300049111,六葛西小,東京都江戸川区西葛西4-5-1,1,,,35.668019,139.865113,
197,E1312300050111,西葛西中,東京都江戸川区西葛西5-10-18,1,,,35.665863,139.86299,
198,E1312300051111,七葛西小,東京都江戸川区西葛西7-8-1,1,,,35.65995,139.859892,
199,E1312300052111,新田小,東京都江戸川区西葛西8-16-1,1,,,35.65454,139.862926,
200,E1312300053111,旧上一色小,東京都江戸川区西小岩2-4-1,1,,,35.73292,139.873407,
201,E1312300054111,西小岩小,東京都江戸川区西小岩3-19-12,1,,,35.735931,139.877235,
202,E1312300055111,小岩四中,東京都江戸川区西小岩3-9-18,1,,,35.736519,139.874953,
203,E1312300056111,瑞江小,東京都江戸川区西瑞江3-39,1,,,35.685434,139.887121,
204,E1312300057111,船堀小,東京都江戸川区船堀2-22-22,1,,,35.682732,139.862257,
205,E1312300058111,船堀二小,東京都江戸川区船堀4-14-4,1,,,35.683399,139.868176,
206,E1312300059111,大杉二小,東京都江戸川区大杉3-11-1,1,,,35.706924,139.881152,
207,E1312300060111,松江三中,東京都江戸川区中央1-20-1,1,,,35.708713,139.87039,
208,E1312300061111,大杉小,東京都江戸川区中央2-16-15,1,,,35.706071,139.873288,
209,E1312300114111,都立城東職業能力開発センター江戸川校,東京都江戸川区中央2-31-27,1,,,35.706223,139.874863,
210,E1312300062111,三松江小,東京都江戸川区中央4-13-1,1,,,35.710317,139.867314,
211,E1312300063111,葛西小・中,東京都江戸川区中葛西2-4-3,1,,,35.671981,139.873516,
212,E1312300064111,葛西三中,東京都江戸川区中葛西6-6-13,1,,,35.659692,139.865481,
213,E1312300065111,四葛西小,東京都江戸川区中葛西8-8-1,1,,,35.658916,139.871002,
214,E1312300066111,二葛西小,東京都江戸川区東葛西6-33-1,1,,,35.662379,139.878808,
215,E1312300067111,東葛西中,東京都江戸川区東葛西6-40-1,1,,,35.660985,139.879397,
216,E1312300068111,東葛西小,東京都江戸川区東葛西8-23-1,1,,,35.654132,139.87963,
217,E1312300070111,篠崎三小,東京都江戸川区東篠崎1-1-16,1,,,35.697424,139.913864,
218,E1312300069111,都立篠崎高校,東京都江戸川区東篠崎1-10-1,1,,,35.700446,139.916254,
219,E1312300071111,小岩二中,東京都江戸川区東小岩1-6-10,1,,,35.721663,139.890719,
220,E1312300072111,小岩一中,東京都江戸川区東小岩3-10-8,1,,,35.730571,139.892204,
221,E1312300073111,小岩小,東京都江戸川区東小岩3-20-10,1,,,35.732893,139.892625,
222,E1312300074111,東小岩小,東京都江戸川区東小岩4-12-1,1,,,35.729331,139.889243,
223,E1312300075111,東小松川小,東京都江戸川区東小松川3-27-1,1,,,35.692957,139.866059,
224,E1312300076111,瑞江三中,東京都江戸川区東瑞江1-38-33,1,,,35.691512,139.900067,
225,E1312300077111,下鎌田小,東京都江戸川区東瑞江3-11-1,1,,,35.691072,139.893799,
226,E1312300078111,都立葛西南高校,東京都江戸川区南葛西1-11-1,1,,,35.653648,139.870776,
227,E1312300079111,南葛西小,東京都江戸川区南葛西5-10-1,1,,,35.646719,139.874703,
228,E1312300080111,南葛西中,東京都江戸川区南葛西5-12-1,1,,,35.645447,139.875097,
229,E1312300081111,南葛西三小,東京都江戸川区南葛西5-2-1,1,,,35.643638,139.870729,
230,E1312300082111,南葛西二中,東京都江戸川区南葛西5-3-1,1,,,35.644556,139.87101,
231,E1312300083111,南葛西二小,東京都江戸川区南葛西7-5-9,1,,,35.650004,139.880211,
232,E1312300084111,鎌田小,東京都江戸川区南篠崎町2-45-18,1,,,35.69144,139.904049,
233,E1312300085111,南篠崎小,東京都江戸川区南篠崎町4-27-5,1,,,35.698233,139.904129,
234,E1312300086111,南小岩二小,東京都江戸川区南小岩2-16-1,1,,,35.721973,139.889292,
235,E1312300087111,南小岩小,東京都江戸川区南小岩4-16-1,1,,,35.7232,139.884854,
236,E1312300088112,下小岩小,東京都江戸川区南小岩5-5-1,1,,,35.725785,139.878612,
237,E1312300089111,旧下小岩小,東京都江戸川区南小岩7-8-1,1,,,35.72792,139.882695,
238,E1312300090111,都立小松川高校,東京都江戸川区平井1-27-10,1,,,35.702615,139.852184,
239,E1312300091112,小松川中,東京都江戸川区平井3-20-1,1,,,35.702431,139.84317,
240,E1312300093111,小松川小,東京都江戸川区平井4-1-23,1,,,35.7036,139.847569,
241,E1312300094111,平井東小,東京都江戸川区平井4-28-9,1,,,35.708527,139.848143,
242,E1312300095111,旧小松川一中,東京都江戸川区平井4-7-21,1,,,35.705466,139.846129,
243,E1312300096112,平井南小,東京都江戸川区平井5-3-11,1,,,35.704759,139.838795,
244,E1312300097111,旧平井二小,東京都江戸川区平井6-1-17,1,,,35.706539,139.836271,
245,E1312300098111,平井小,東京都江戸川区平井6-35-1,1,,,35.710617,139.842231,
246,E1312300099111,平井西小,東京都江戸川区平井7-22-24,1,,,35.714609,139.839342,
247,E1312300100111,五葛西小,東京都江戸川区北葛西2-13-33,1,,,35.674778,139.855832,
248,E1312300101111,三葛西小,東京都江戸川区北葛西4-2-19,1,,,35.671048,139.862027,
249,E1312300102111,宇喜田小,東京都江戸川区北葛西5-13-1,1,,,35.674249,139.865693,
250,E1312300103111,篠崎五小,東京都江戸川区北篠崎2-5-1,1,,,35.718348,139.893077,
251,E1312300104111,北小岩小,東京都江戸川区北小岩2-15-1,1,,,35.740463,139.885741,
252,E1312300105111,中小岩小,東京都江戸川区北小岩3-12-22,1,,,35.737625,139.892024,
253,E1312300106111,上小岩小,東京都江戸川区北小岩7-2-1,1,,,35.743436,139.889465,
254,E1312300107111,小岩三中,東京都江戸川区北小岩8-19-1,1,,,35.747038,139.886265,
255,E1312300108111,上小岩二小,東京都江戸川区北小岩8-28-11,1,,,35.747643,139.886964,
256,E1312300109111,本一色小,東京都江戸川区本一色2-10-1,1,,,35.718589,139.872286,
257,E1312300110111,都立小岩高校,東京都江戸川区本一色3-10-1,1,,,35.721275,139.869092,
258,E1312300111111,上一色南小,東京都江戸川区本一色3-28-24,1,,,35.722111,139.871059,
259,E1312300112111,都立紅葉川高校,東京都江戸川区臨海町2-1-1,1,,,35.65276,139.858795,
260,E1312300113111,臨海小,東京都江戸川区臨海町2-2-11,1,,,35.651489,139.860366,
261,E1310800001111,深川スポーツセンター,東京都江東区越中島1-2-18,,,,35.67046362,139.7917351,
262,E1310800002111,東京海洋大学（越中島キャンパス）,東京都江東区越中島2-1-6,,,,35.66794897,139.7917811,
263,E1310800003111,第三商業高等学校,東京都江東区越中島3-3-1,,,,35.66289545,139.7956211,
264,E1310800004111,越中島小学校,東京都江東区越中島3-6-38,,,,35.66616645,139.7963969,
265,E1310800005111,深川第三中学校,東京都江東区越中島3-7-1,,,,35.66651956,139.7956339,
266,E1310800006111,猿江保育園,東京都江東区猿江1-8-10,,,,35.68542223,139.8135757,
267,E1310800008111,塩浜保育園,東京都江東区塩浜1-3-10,,,,35.66375669,139.8012542,
268,E1310800010111,深川第八中学校,東京都江東区塩浜2-21-14,,,,35.66475861,139.8120901,
269,E1310800013111,塩崎保育園,東京都江東区塩浜2-6-3,,,,35.66092953,139.8086548,
270,E1310800015111,第三亀戸中学校,東京都江東区亀戸1-12-10,,,,35.69515848,139.8211956,
271,E1310800016111,亀戸第三保育園,東京都江東区亀戸1-24-6,,,,35.69473185,139.8243007,
272,E1310800016112,亀戸福祉会館,東京都江東区亀戸1-24-6,,,,35.69471538,139.8240199,
273,E1310800017111,アンフェリシオン,東京都江東区亀戸1-43-22,,,,35.69677307,139.8224045,
274,E1310800018111,亀戸児童館,東京都江東区亀戸2-1-19,,,,35.69781311,139.8216861,
275,E1310800019111,亀戸文化センター,東京都江東区亀戸2-19-1,,,,35.69759901,139.8245546,
276,E1310800020111,第一亀戸小学校,東京都江東区亀戸2-5-7,,,,35.69886115,139.8221754,
277,E1310800021111,介護老人保健施設キーストーン,東京都江東区亀戸3-36-1,,,,35.70727422,139.8193709,
278,E1310800022111,パークサイド亀島,東京都江東区亀戸3-36-13,,,,35.70659147,139.8201253,
279,E1310800023111,特別養護老人ホームカメリア,東京都江東区亀戸3-36-5,,,,35.70699659,139.8200793,
280,E1310800024112,亀戸第四保育園,東京都江東区亀戸4-21-13,,,,35.70264605,139.8265371,
281,E1310800025111,香取小学校,東京都江東区亀戸4-26-22,,,,35.70387103,139.8261177,
282,E1310800026111,江東商業高等学校,東京都江東区亀戸4-50-1,,,,35.70246373,139.8314963,
283,E1310800027111,第二亀戸中学校,東京都江東区亀戸4-51-1,,,,35.70261876,139.8325881,
284,E1310800028111,水神小学校,東京都江東区亀戸5-22-22,,,,35.70007296,139.8285179,
285,E1310800029111,第二亀戸小学校（第二亀戸幼稚園）,東京都江東区亀戸6-36-1,,,,35.69545461,139.8301707,
286,E1310800030111,亀戸保育園,東京都江東区亀戸6-54-2-101,,,,35.69652391,139.8324778,
287,E1310800031111,亀戸図書館亀戸第三児童館,東京都江東区亀戸7-39-9,,,,35.69697174,139.8393537,
288,E1310800032111,青少年交流プラザ亀戸第二保育園,東京都江東区亀戸7-41-16,,,,35.69675575,139.8374069,
